"Date","Price","Open","High","Low","Vol.","Change %"
"06/19/2025","104,669.6","104,894.2","105,220.5","103,934.5","28.47K","-0.21%"
"06/18/2025","104,894.2","104,571.4","105,553.0","103,622.4","45.60K","0.32%"
"06/17/2025","104,559.8","106,769.8","107,747.4","103,386.3","60.73K","-2.04%"
"06/16/2025","106,740.4","105,594.0","108,899.3","104,993.8","50.95K","1.09%"
"06/15/2025","105,591.8","105,421.6","106,098.9","104,502.0","26.22K","0.16%"
"06/14/2025","105,421.5","106,028.5","106,196.9","104,321.0","30.99K","-0.62%"
"06/13/2025","106,080.3","105,702.7","106,147.0","102,739.6","73.84K","0.36%"
"06/12/2025","105,703.0","108,662.2","108,776.2","105,703.0","59.87K","-2.72%"
"06/11/2025","108,661.2","110,269.2","110,386.1","108,081.9","44.80K","-1.46%"
"06/10/2025","110,269.2","110,268.3","110,369.2","108,380.6","58.28K","0.00%"
"06/09/2025","110,268.3","105,739.6","110,404.9","105,333.3","64.28K","4.28%"
"06/08/2025","105,739.6","105,564.2","106,449.3","105,011.6","29.11K","0.17%"
"06/07/2025","105,564.2","104,308.3","105,911.7","103,911.0","32.39K","1.20%"
"06/06/2025","104,308.3","101,524.1","105,306.5","101,127.6","61.97K","2.74%"
"06/05/2025","101,521.9","104,690.6","105,914.4","100,421.1","73.53K","-3.03%"
"06/04/2025","104,695.6","105,383.5","105,971.2","104,224.0","50.06K","-0.66%"
"06/03/2025","105,388.3","105,845.6","106,758.4","104,886.9","49.47K","-0.43%"
"06/02/2025","105,845.6","105,635.2","105,930.7","103,729.7","46.44K","0.20%"
"06/01/2025","105,635.2","104,598.0","105,867.5","103,768.6","33.03K","0.99%"
"05/31/2025","104,598.0","103,981.9","104,888.4","103,091.3","35.80K","0.59%"
"05/30/2025","103,981.3","105,598.8","106,314.9","103,693.9","71.98K","-1.53%"
"05/29/2025","105,600.0","107,759.1","108,896.7","105,399.9","70.02K","-2.03%"
"05/28/2025","107,786.7","108,905.7","109,238.3","106,804.9","51.84K","-1.06%"
"05/27/2025","108,944.0","109,455.3","110,718.7","107,572.2","65.02K","-0.47%"
"05/26/2025","109,455.3","109,014.9","110,401.4","108,694.0","48.01K","0.40%"
"05/25/2025","109,021.1","107,763.0","109,203.4","106,648.3","52.49K","1.17%"
"05/24/2025","107,763.0","107,313.5","109,476.4","106,904.5","52.26K","0.42%"
"05/23/2025","107,313.4","111,702.6","111,778.7","106,855.4","87.57K","-3.93%"
"05/22/2025","111,702.7","109,632.6","111,953.6","109,281.8","96.35K","1.88%"
"05/21/2025","109,640.1","106,814.7","110,628.8","106,109.5","124.17K","2.64%"
"05/20/2025","106,815.8","105,586.1","107,270.5","104,199.3","76.08K","1.16%"
"05/19/2025","105,585.8","106,507.7","107,081.3","102,088.2","90.49K","-0.86%"
"05/18/2025","106,504.5","103,113.9","106,577.0","103,113.9","62.47K","3.29%"
"05/17/2025","103,112.6","103,473.9","103,712.3","102,626.5","37.43K","-0.36%"
"05/16/2025","103,480.5","103,764.6","104,544.1","103,126.5","53.27K","-0.27%"
"05/15/2025","103,765.4","103,513.2","104,153.8","101,436.8","59.68K","0.24%"
"05/14/2025","103,513.9","104,116.3","104,316.0","102,632.9","55.58K","-0.58%"
"05/13/2025","104,119.2","102,794.9","104,972.9","101,510.2","71.91K","1.29%"
"05/12/2025","102,795.0","104,119.2","105,765.2","100,766.8","90.21K","-1.27%"
"05/11/2025","104,119.2","104,748.3","104,930.9","103,358.8","54.76K","-0.65%"
"05/10/2025","104,798.0","102,974.7","104,969.8","102,837.2","48.42K","1.77%"
"05/09/2025","102,975.1","103,270.7","104,308.7","102,365.7","87.34K","-0.29%"
"05/08/2025","103,274.3","97,035.1","103,885.4","96,901.9","110.60K","6.43%"
"05/07/2025","97,035.1","96,817.9","97,647.5","95,798.4","59.98K","0.22%"
"05/06/2025","96,825.4","94,745.9","96,893.9","93,408.8","55.76K","2.20%"
"05/05/2025","94,745.2","94,314.6","95,206.8","93,590.8","59.21K","0.45%"
"05/04/2025","94,316.9","95,885.5","96,297.8","94,206.1","41.31K","-1.64%"
"05/03/2025","95,885.8","96,894.3","96,922.2","95,785.5","36.24K","-1.04%"
"05/02/2025","96,894.4","96,497.3","97,881.8","96,359.3","51.94K","0.41%"
"05/01/2025","96,499.3","94,181.3","97,394.3","94,168.1","74.56K","2.46%"
"04/30/2025","94,184.4","94,265.0","95,223.4","93,049.6","57.10K","-0.09%"
"04/29/2025","94,269.8","94,995.4","95,453.4","93,758.0","59.86K","-0.76%"
"04/28/2025","94,995.0","93,742.5","95,580.3","92,818.9","73.63K","1.34%"
"04/27/2025","93,742.5","94,631.4","95,324.4","93,640.7","36.66K","-0.94%"
"04/26/2025","94,631.4","94,669.3","95,207.0","93,891.8","33.77K","-0.05%"
"04/25/2025","94,676.9","93,979.4","95,718.6","92,867.2","92.04K","0.74%"
"04/24/2025","93,980.3","93,696.3","94,001.0","91,673.0","66.68K","0.30%"
"04/23/2025","93,697.7","93,442.2","94,462.6","91,963.4","90.35K","0.27%"
"04/22/2025","93,441.9","87,516.0","93,816.9","87,105.2","130.17K","6.77%"
"04/21/2025","87,516.0","85,179.0","88,449.6","85,148.8","98.50K","2.74%"
